广西频道,#genre#
南宁新闻综合,http://kkk.jjjj.jiduo.me/api.php
来宾综合,http://kkk.jjjj.jiduo.me/api.php
南宁公共,http://kkk.jjjj.jiduo.me/api.php
罗城综合,http://kkk.jjjj.jiduo.me/api.php
贺州综合,http://kkk.jjjj.jiduo.me/api.php
南宁公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
来宾综合,http://zb.gxlbamc.com:1935/live/lbzh.stream/playlist.m3u8
南宁新闻综合,http://live.xmcdn.com/live/305/64.m3u8
贺州综合,http://zhz.gxhzxw.com:2935/live/HZXW-HD/playlist.m3u8
广西｜新闻,http://116.9.204.242:9901/tsfile/live/1001_1.m3u8
北海经济科教,https://play-a2.quklive.com:443/live/1727311690820146.m3u8
灌阳新闻综合,https://ls.qingting.fm/live/5043/64k.m3u8
